CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gabon,,,,,,,,,,,,,,,,,,,
United Kingdom,1.0056,1.00513,1.00842,1.01961,1.01613,1.01625,1.01884,1.01287,1.00748,1.00484,0.99955,1.00344,0.99975,1.02419,1.02166,1.01641,,1.01539,
Georgia,1.02469,1.05137,1.04945,1.0411,1.03958,1.03953,1.07647,,1.01989,,,,,1.0081,1.01177,1.01436,1.01026,1.01057,1.01249
Ghana,0.89591,0.91021,0.91297,0.91597,0.90612,0.91941,0.93884,0.94866,0.95231,0.95011,,0.95833,0.9631,0.96705,0.97812,0.98152,0.99612,0.99687,1.00222
Gibraltar,0.98808,1.00542,,,,,,,1.01174,1.00462,,,,,,,0.98619,0.9895,
Guinea,,0.6188,0.64136,0.67092,0.6829,0.70732,0.72747,,0.75247,,,0.77954,,,0.78593,,,,
"Gambia, The",,,,,,,,,1.01834,1.01481,1.00113,,,,,,,,
Guinea-Bissau,0.64464,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0.72895,,0.86631,,,0.90676,,,,,,,,,,,,,
Greece,1.03004,1.02265,1.0026,0.99427,0.97968,0.96558,0.96124,0.95644,,,0.97034,0.98008,0.97519,0.97304,0.96468,0.95957,0.96536,0.97104,
Grenada,,,1.02287,0.9847,1.01572,0.99723,,0.98139,0.93047,0.96585,0.99037,,,0.96145,0.98084,0.97118,0.99113,0.98673,
Greenland,,,,,,,,,,,,,,,,,,,
Guatemala,0.89701,0.90466,0.9113,,0.92369,0.93059,0.93838,0.94651,0.95426,0.96426,0.96621,0.96691,0.96424,0.95998,0.96195,0.95891,0.95971,0.96256,0.96636
Guam,,,,,,,,,,,,,,,,,,,
Guyana,,0.98099,,,,1.00597,,0.97781,1.00052,0.98768,1.00057,0.99586,0.99501,,,,,,
High income,0.999339998,1.002609968,0.999660015,1.000249982,1.001749992,1.000139952,0.998679996,0.998449981,0.996999979,0.99792999,0.99448,0.99457,0.99247,0.99532,0.99558,0.99587,0.99267,0.99138,0.9919
"Hong Kong SAR, China",,,,,,,,,,,,,1.0041,0.99394,0.99425,0.99878,1.00293,1.00417,1.00733
Honduras,,,,,,,1.06282,1.07399,1.07654,,1.07252,1.06903,1.0682,1.06417,1.04717,1.06183,1.0548,1.05166,
Heavily indebted poor countries (HIPC),0.79895997,0.803359985,0.805710018,0.816049993,0.81171,0.832790017,0.843119979,0.848999977,0.858210027,0.868770003,0.87748,0.88648,0.89286,0.89985,0.90258,0.91223,0.91691,0.91989,0.92155
Croatia,1.01085,1.00923,1.00939,1.00876,,1.02232,1.02247,1.02423,1.02589,1.0267,1.0494,1.02679,1.02675,1.02404,1.02325,1.03194,1.03202,,
Haiti,,,,,,,,,,,,,,,,,,,
Hungary,0.99887,0.9988,0.99877,0.99568,0.98834,0.98662,0.98789,0.99075,0.98606,0.99002,0.9889,0.98599,0.98621,1.0015,1.00186,1.00297,0.99355,0.99905,
IBRD only,0.931039989,0.934859991,0.94016999,0.963609993,0.967540026,0.96991998,0.97390002,0.978850007,0.987169981,0.996209979,0.99295,0.99502,0.99805,1.02096,1.02322,1.02171,1.03219,1.02739,1.02675
IDA & IBRD total,0.908159971,0.911960006,0.915390015,0.935410023,0.936829984,0.942330003,0.946959972,0.951919973,0.959969997,0.967890024,0.96728,0.97015,0.97444,0.99072,0.99303,0.99357,1.00042,0.99805,0.99737
IDA total,0.83020997,0.836979985,0.837769985,0.850149989,0.845550001,0.863900006,0.873589993,0.881169975,0.891129971,0.898930013,0.90745,0.91435,0.92332,0.92462,0.92848,0.93497,0.93445,0.93855,0.93856
IDA blend,0.814090014,0.821280003,0.812189996,0.83348,0.834010005,0.848540008,0.858739972,0.867560029,0.877149999,0.889800012,0.89087,0.89548,0.91486,0.91466,0.91807,0.9171,0.90905,0.912,0.91141
Indonesia,0.97027,0.97832,0.98074,0.98284,0.98685,0.97549,0.98286,0.97889,0.98417,0.98267,1.02081,1.02226,1.00822,0.98449,0.98228,0.98564,0.9959,0.99365,0.9934
IDA only,0.83969003,0.845920026,0.851220012,0.858810008,0.851639986,0.871819973,0.880919993,0.887589991,0.897170007,0.902710021,0.91475,0.92267,0.92677,0.92906,0.9328,0.94277,0.94587,0.95041,0.9509
Isle of Man,,,,,,,,,,,,,,,,,,,
India,0.80224,0.80988,0.83037,0.9157,,,,0.94256,0.96705,0.98997,0.98905,0.99853,1.0034,1.0725,1.06962,1.07018,1.09519,1.08402,
Not classified,,,,,,,,,,,,,,,,,,,
Ireland,1.02796,1.03174,1.03581,1.03082,1.02734,1.03353,1.02732,1.02099,1.02287,1.02595,1.02363,1.01397,1.01053,,1.00741,1.00846,1.00691,0.99192,
