Indicator Name,geoAreaName,parentName,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
Proportion of women in managerial positions (%),Maldives,Southern Asia,15.4,,,,,,,,,,,,,,18.5,,19.6,
Proportion of women in managerial positions (%),Mali,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Malta,Southern Europe,17.6,15.3,17.7,19.1,13.1,18,18.3,18,17.1,21.3,22.7,24.2,26.2,28.1,25.7,27.1,28.7,28.5
Proportion of women in managerial positions (%),Martinique,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Mauritania,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Mauritius,Eastern Africa,22,19.6,18.9,24.3,20.5,24.7,15.3,20.2,23,25.6,26.2,22.2,23,32.6,28.5,28.9,30.6,30.1
Proportion of women in managerial positions (%),Mexico,Central America,23.6,25.2,23.2,23.9,25.3,,,,,,,,,35,35.4,36,36,36.7
Proportion of women in managerial positions (%),Monaco,Western Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Mongolia,Eastern Asia,30.2,,,,,,,,42.5,38.7,37.6,38.8,41.9,41.3,38,40.6,40.8,42.5
Proportion of women in managerial positions (%),Republic of Moldova,Eastern Europe,33.2,37.4,40.2,39.5,39,38.9,38.9,40.2,38,38.7,36.4,39.4,44.1,39.2,42.9,46.4,46.8,42
Proportion of women in managerial positions (%),Montenegro,Southern Europe,,,,,,19.7,,31.4,23.4,24.5,30.2,31,28.5,25.4,26.7,22.3,29.4,22.1
Proportion of women in managerial positions (%),Montserrat,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Morocco,Northern Africa,,,,,10.8,12.4,11.9,12.1,12.8,,,,,,,,,
Proportion of women in managerial positions (%),Mozambique,Eastern Africa,,,,,,,,,,,,,,,,24.3,,
Proportion of women in managerial positions (%),Oman,Western Asia,9.3,,,,,,,,5.5,,,,,,,,11.1,
Proportion of women in managerial positions (%),Namibia,Southern Africa,30.2,,,,36,,,,,,36.6,,29.7,42.6,44,,39.9,
Proportion of women in managerial positions (%),Nauru,Micronesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Nepal,Southern Asia,,,,,,,,,18.8,,,,,,,,,
Proportion of women in managerial positions (%),Netherlands,Western Europe,25.3,26.2,25.4,25.7,25.4,25.5,26.7,28,28.1,28.5,28.6,29.3,28.8,24.6,25.5,26,25.4,26.6
Proportion of women in managerial positions (%),Netherlands Antilles,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Cura?ao,Caribbean,,,,,,,,,,,,,,,,,,
