Indicator Name,geoAreaName,parentName,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Haiti,Caribbean,87.3,,,,,,85.4,,,,,80.3,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Heard Island and McDonald Islands,Australia and New Zealand,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Holy See,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Honduras,Central America,,,,,,,94.2,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),"China, Hong Kong Special Administrative Region",Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Hungary,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Iceland,Northern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),India,Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Indonesia,South-Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Iran (Islamic Republic of),Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Iraq,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Ireland,Northern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Israel,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Italy,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),C?te d'Ivoire,Western Africa,,,,,,,67.3,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Jamaica,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Japan,Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Kazakhstan,Central Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Jordan,Western Asia,,,,,,,84.2,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Kenya,Eastern Africa,,,,,,,,,77.2,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Democratic People's Republic of Korea,Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Republic of Korea,Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Kuwait,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Kyrgyzstan,Central Asia,,,,,,,85.4,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Lao People's Democratic Republic,South-Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Lebanon,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Lesotho,Southern Africa,,,,68,,,,,71.4,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Latvia,Northern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Liberia,Western Africa,,,,,,,,91.6,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Libya,Northern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Liechtenstein,Western Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Lithuania,Northern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Luxembourg,Western Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),"China, Macao Special Administrative Region",Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Madagascar,Eastern Africa,,,,87.9,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Malawi,Eastern Africa,,,,,75.8,,,,,,70,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Malaysia,South-Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Maldives,Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Mali,Western Africa,41.7,,,,,,,28.5,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Malta,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Martinique,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Mauritania,Western Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Mauritius,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Mexico,Central America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Monaco,Western Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Mongolia,Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Republic of Moldova,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Montenegro,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Montserrat,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Morocco,Northern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Mozambique,Eastern Africa,,,,,,67,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Oman,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Namibia,Southern Africa,,92,,,,,,93.5,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Nauru,Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Nepal,Southern Asia,,,,,,94.3,,,,,91.4,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Netherlands,Western Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Netherlands Antilles,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Cura?ao,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Aruba,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Sint Maarten (Dutch part),Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),New Caledonia,Melanesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Vanuatu,Melanesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),New Zealand,Australia and New Zealand,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Nicaragua,Central America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Niger,Western Africa,31.4,,,,,,35.3,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Nigeria,Western Africa,,,78.8,,,,,82.8,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Niue,Polynesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Norfolk Island,Australia and New Zealand,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Norway,Northern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Northern Mariana Islands,Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),United States Minor Outlying Islands,Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Micronesia (Federated States of),Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Marshall Islands,Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Palau,Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Pakistan,Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Panama,Central America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Papua New Guinea,Melanesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Paraguay,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Peru,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Philippines,South-Eastern Asia,,,,,,,,,,,,87.8,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Pitcairn,Polynesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Poland,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Portugal,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Guinea-Bissau,Western Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Timor-Leste,South-Eastern Asia,,,,,,,,,,,43.5,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Puerto Rico,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Qatar,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),R¨¦union,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Romania,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Russian Federation,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Rwanda,Eastern Africa,,,,,80.9,,,,,83.4,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saint Barth¨¦lemy,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saint Helena,Western Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saint Kitts and Nevis,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Anguilla,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saint Lucia,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saint Martin (French Part),Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saint Pierre and Miquelon,Northern America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saint Vincent and the Grenadines,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),San Marino,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Sao Tome and Principe,Middle Africa,,,79.3,,,,,,,,,,
